Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Schwein, Haxe, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;726;7.6;2.7;3.4;0.8;0.7;0;0;25.6;64.2
Schwein, Kotelett, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;1010;12.8;4.8;5.8;1.3;0;0;0;31.3;55.9
Schwein, Kotelett, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;749;10.4;3.9;4.7;1;0;0;0;21.4;66.3
Schwein, Leber, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;549;4.9;1.7;0.5;1.4;0.9;0;0;20.7;71.9
Schwein, Nierstück, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;578;5.1;2;2.4;0.6;0;0;0;22.9;69.5
Schwein, Runder Mocken, roh;Plätzli;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;532;4.9;1.7;2.5;0.6;0;0;0;20.6;73.6
"Schwein, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;846;9.3;1.9;2.5;0.7;0;0;0;29.6;61.1
"Schwein, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;928;10.2;2.1;2.8;0.8;0;0;0;32.5;57.4
Schwein, Schulter, Braten, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;757;9.2;1.9;2.5;0.7;0;0;0;24.6;62.9
Schwein, Voressen, roh;Ragout;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;566;5.7;2.1;2.9;0.6;0;0;0;20.9;72.1
Schweinefleisch (Durchschnitt exkl. Innereien, Kotelett, Haxe), roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;671;8.3;2.9;3.6;0.8;0;0;0;21.4;70.3
Schweineschmalz;;Fette und Öle/Fette;pro 100g essbarer Anteil;3700;100;38.4;43.8;12.1;0;0;0;0;0
Schweinsbratwurst;Bauernbratwurst;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;980;18.8;7.4;8.8;1.8;0.5;0.5;0;16.2;61.8
Schweinsbratwurst, gebraten (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1170;22.3;8.7;10.4;2.1;0.6;0.6;0;19.8;57.2
Schweinspiccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;944;12.4;3.2;6.2;1.5;5.5;0.1;0.3;22.9;59
Schweinsragout mit Sauce, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;439;5.1;1.2;3.1;0.6;3;1.2;0.6;11.5;79.8
Schweinswurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1110;22.4;9;10.4;1.9;0.5;0.5;0;16.2;57.8
Seehecht, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;300;0.3;0.1;0.1;0.1;0;0;0;17;81.5
Seelachs, roh;"Kohlfisch;Köhler;Pollack";Fisch/Meeresfische;pro 100g essbarer Anteil;339;0.3;0.1;0.1;0.1;0;0;0;19.3;79.2
Seezunge, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;359;1.1;0.2;0.2;0.4;0;0;0;18.7;78.5
Seitan;;Fleischersatzprodukte;pro 100g essbarer Anteil;812;7.2;0.6;3.4;1.8;3;0.7;2.3;28;61.4
Sellerie-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;567;8.2;2.2;4.1;1;8.4;1.5;3.5;5.4;74.4
Selleriescheiben, paniert, zubereitet;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;583;5.7;0.7;3.5;0.9;15.4;1.9;4;4.7;70.3
Semmeli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1040;0.9;0.2;0.1;0.5;48.5;0.4;3;9.2;39.2
Senf;;Verschiedenes/Saucen;pro 100g essbarer Anteil;513;7.7;0.5;4.1;2.7;3.8;2.6;5.3;7.1;67.8
Sesamöl;;Fette und Öle/Öle;pro 100 ml;3330;90;13.4;36.2;36;0;0;0;0;0
Sesamsamen ungeschält;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2560;53.8;7.4;19.4;21.1;4;1.2;13.3;23.1;4.3
Sesamsamen, geschält;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2730;57.4;8.6;21.4;21.7;4.6;1.6;8.8;26.8;3.8
Sherry, 18.5 vol%;Jerez;Alkoholhaltige Getränke/Wein;pro 100 ml;492;0;0;0;0;3.6;3.6;0;0.1;80.7
Siedfleischsalat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;837;14.9;3.5;7.9;2.8;1.5;1.2;0.5;15;68
Silberzwiebel, in Essig eingelegt;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;116;0.2;0;0;0.1;4.9;3.5;1.3;0.9;90.6
Sirup unverdünnt;;Alkoholfreie Getränke/Sirup;pro 100 ml;1580;0.2;0;0;0.1;91.8;91.4;0.9;0.1;36.6
Sirup zubereitet (verdünnt im Verhältnis 1:5.5);;"Alkoholfreie Getränke/Sirup;Alkoholfreie Getränke/Süssgetränke";pro 100 ml;232;0;0;0;0;13.5;13.4;0.1;0;86.3
Sojabohne, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;652;7.3;1;1.5;4.3;3.3;2.6;8.8;15;66.9
Sojabohne, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;1660;18.3;2.4;3.7;10.7;8.7;6.8;22;38.2;8.4
Sojagetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;178;2.1;0.3;0.4;1.1;1.5;1.4;0.6;4.2;92.6
Sojagetränk, nature, mit Calicum and Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;178;2.1;0.3;0.4;1.1;1.5;1.4;0.6;4.2;92.6
Sojamehl, entfettet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1240;1.2;0.2;0.2;0.7;7.5;7.4;24.5;51.5;14.2
Sojamehl, vollfett;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1660;20.6;2.7;3.5;12.1;3.1;3.1;18.5;40.8;12.5
Sojaöl;;Fette und Öle/Öle;pro 100 ml;3330;90;13.2;19.9;54.3;0;0;0;0;0
Sojasauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;236;0.6;0.1;0.1;0.3;4.1;0.4;0.8;8.1;71.2
Sojasprossen, roh;Sojakeime;Gemüse/Sprossen und Keimlinge;pro 100g essbarer Anteil;231;1;0.1;0.1;0.7;4.7;4.6;2.4;5.5;85.6
Sonnenblumenkerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2570;54.5;5.4;19.8;23.5;3.6;3.4;8;25.1;4.8
Sonnenblumenöl;;Fette und Öle/Öle;pro 100 ml;3330;90;10;24.8;50.7;0;0;0;0;0
Sonnenblumenöl HO (high oleic), raffiniert;;Fette und Öle/Öle;pro 100 ml;3330;90;8.9;75.3;3.4;0;0;0;0;0
Sorbet, Frucht;;Süssigkeiten/Glacen auf Wasserbasis;pro 100g essbarer Anteil;581;0;0;0;0;32.1;32.1;0.4;0.2;65.8
Spargel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;109;0.2;0;0;0;3.1;3;1.6;2.1;93
Spargel, roh (weiss und grün);;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;115;0.2;;;;3.3;3.2;1.7;2.2;92.3
Spinat, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;129;0.8;0.1;0;0.4;1.6;0.1;2.3;3.3;92
Spinat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;104;0.6;0.1;0;0.4;1.3;0.1;1.9;2.6;91.1
Spinatkuchen, gebacken (mit Blätterteig);Spinatwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;713;11.6;6.2;3.1;0.9;10.4;1;1.6;5.5;71
Spinatkuchen, gebacken (mit Kuchenteig);Spinatwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;725;10.8;5.7;2.9;0.9;12.5;1;1.7;5.8;69.3
Spirituosen 40 vol% (z.B. Vodka, Gin);;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;920;0;0;0;0;0;0;0;0;63.2
Spitzbube (Mürbeteiggebäck mit Konfitüre);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;2090;25.6;15.1;5.9;1.4;60.3;30.9;1.9;5.8;6.8
St. Galler Bürli (halbweiss);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;979;1;0.1;0.1;0.5;44.6;0.3;3.5;9.1;42.5
St. Galler Schüblig;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;983;20.7;7.6;9.8;2.2;0.2;0.2;0;12.6;66.5
St. Paulin;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1220;23;13.8;5.4;1.1;0;0;0;21.8;55
Stachelbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;163;0.2;0;0;0.1;7.1;7.1;3;0.8;87.2
Stangensellerie, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;85;0.4;0;0;0;2.4;1.3;2.2;0.6;94.1
Stangensellerie, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;84;0.4;;;;2.4;1.3;2.2;0.6;93.4
Steinpilz, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;190;0.5;0.1;0;0.2;0.6;0.1;7.3;6.1;87.3
Steinpilz, roh;;Gemüse/Pilze;pro 100g essbarer Anteil;164;0.4;0.1;0;0.2;0.5;0.1;6;5.4;88.6
Strudelteig, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;991;2.5;0.3;1.4;0.6;44.3;0.2;2;7.6;44.3
Surimi;;Fisch/Fischerzeugnisse;pro 100g essbarer Anteil;527;4.9;0.5;2.4;1.4;11.8;2.1;0.3;8.3;72.5
Süsskartoffel, gedämpft (ohne Zugabe von Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;343;0.1;0;0;0;17.1;4.2;3;1.6;78.3
Süsskartoffel, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;344;0.1;0;0;0;17.1;4.2;3;1.6;77.3
Taboulé, zubereitet (mit Bulgur);;Gerichte/Salate;pro 100g essbarer Anteil;462;5.5;0.7;3.9;0.5;11.5;1.1;2.8;2.3;78
Taboulé, zubereitet (mit Couscous);;Gerichte/Salate;pro 100g essbarer Anteil;544;6.1;0.7;4.4;0.5;15.3;1.3;1.2;2.8;74.8
Tartarsauce, mit Rapsöl-Mayonnaise, hausgemacht;;Verschiedenes/Saucen;pro 100g essbarer Anteil;1580;40.1;3.6;23.2;10.9;1.8;1.5;0.6;3.7;53.8
Tee, ungezuckert;;Alkoholfreie Getränke/Tee;pro 100 ml;0;0;0;0;0;0;0;0;0;99.9
Teigwaren mit Ei, gekocht im Salzwasser (unjodiert);Eierteigwaren;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;559;1.1;0.2;0.1;0.4;25;1.3;1.3;5;67.7
Teigwaren mit Ei, trocken;Eierteigwaren;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;1550;2.8;0.5;0.4;1;69.9;3.7;3.4;13.3;10.7
Teigwaren ohne Ei, gekocht im Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;670;0.6;0.1;0;0.2;31.2;0.2;2.4;5.9;60.5
Teigwaren ohne Ei, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;1500;1.2;0.2;0.1;0.5;70.5;0.4;5.1;12.6;10
Teigwaren ohne Ei, Vollkorn, gekocht im Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;641;1.2;0.2;0.1;0.5;26.8;0.3;5.4;5.9;61.2
Teigwaren ohne Ei, Vollkorn, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;1430;2.5;0.4;0.3;1.1;60.6;0.7;11.5;12.6;10.5
Teigwaren, frisch, gefüllt mit Fleisch, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;734;4.7;1.7;2;0.8;25.1;1;2.2;6.9;60.3
Teigwaren, frisch, gefüllt mit Spinat und Ricotta, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;753;4.9;1.7;1.7;0.8;25.9;0.6;1.5;7.1;61.1
Teigwaren, frisch, gefüllt mit Spinat und Ricotta, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren;pro 100g essbarer Anteil;900;5.7;2;1.9;1;31.6;0.7;1.7;8.3;51.6
Teigwarenauflauf mit Schinken, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;683;6.9;3.5;1.9;0.6;14.4;1.4;1;10.2;67.6
Teigwarensalat mit französischer Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;534;5.8;0.9;2.3;2.1;12.6;1;1.3;5.6;74.9
Teigwarensalat mit italienischer Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;545;6.1;0.9;4;0.6;12.7;1;1.3;5.5;74.6
Teilentrahmte Milch, pasteurisiert;;Milch und Milchprodukte/Milch;pro 100 ml;236;2.8;1.7;0.7;0.1;4.7;4.7;0;3.1;88.4
Teilentrahmte Milch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;238;2.8;1.7;0.7;0.1;4.6;4.6;0;3.3;88.4
Terrine de Campagne;Pâté de campagne;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;1230;26.5;9.7;12;3;0.9;0.7;0.1;13.6;58.7
Tessinerbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1360;5.2;0.7;1.3;2.9;57.1;0.6;2.9;10.3;25.4
Tête de Moine;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1730;35.5;21.3;8.3;1.6;0;0;0;24.2;35.2
Thon im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;780;8.4;1.5;2.6;3.7;0;0;0;27.6;62.4
Thon im Wasser, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;494;1.6;0.5;0.4;0.5;0;0;0;25.6;72
Thonsalat an Essig-Öl-Sauce (aus Thon im Wasser);;Gerichte/Salate;pro 100g essbarer Anteil;456;4.9;0.7;3.2;0.6;6.8;3.1;1.1;9;78.3
Thunfisch, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;627;6.2;1.8;1.6;2.2;0;0;0;23.4;69
Thymian, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;219;1.2;0.6;0.1;0.3;7.3;7.2;3;1.5;85
Tilsiter, pasteurisiert, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1460;28;16.8;6.6;1.3;0;0;0;24.1;42
Tilsiter, Rohmilch, vollfett;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1560;30.2;18.1;7.1;1.4;0;0;0;25.6;39.6
Tirolercake;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1720;23.1;10.3;9;1.7;41.4;20.4;2.5;8.3;25.4
Toastbrot mit Butter;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1330;10.4;6;2.4;0.9;45.7;2.7;2.2;8.9;33.5
Toastbrot mit Pflanzenölen;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1130;3.3;0.3;1.6;1.1;49.2;4.4;2.9;8.7;36.7
Toastbrot, Vollkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1140;4.9;0.5;1.9;2.3;43.7;4.2;7.4;9.3;35.3
Toastbrot,dunkel oder Mehrkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1150;4.7;0.5;1.9;2;45.6;4;5.2;9.1;36.1
Tofu, fest, nature (Durchschnitt);;Fleischersatzprodukte;pro 100g essbarer Anteil;617;8.5;1.4;1.9;4.8;2.9;0.6;;14.7;75.1
Tofu, fest, nature (hergestellt mit Calciumsalz);;Fleischersatzprodukte;pro 100g essbarer Anteil;617;8.5;1.4;1.9;4.8;2.9;0.6;;14.7;74.9
Tofu, fest, nature (hergestellt mit Nigari);;Fleischersatzprodukte;pro 100g essbarer Anteil;617;8.5;1.4;1.9;4.8;2.9;0.6;;14.7;75.2
Tofu, geräuchert (Durchschnitt);;Fleischersatzprodukte;pro 100g essbarer Anteil;684;9.5;1.5;2;5.6;2.9;0.9;0.5;16.4;71.5
Tofu, geräuchert (hergestellt mit Calciumsalz);;Fleischersatzprodukte;pro 100g essbarer Anteil;684;9.5;1.5;2;5.6;2.9;0.9;0.5;16.4;70.2
Tofu, geräuchert (hergestellt mit Nigari);;Fleischersatzprodukte;pro 100g essbarer Anteil;684;9.5;1.5;2;5.6;2.9;0.9;0.5;16.4;72.4
Tofu, seidig (weich), nature;Seidentofu, nature;Fleischersatzprodukte;pro 100g essbarer Anteil;223;2.9;0.5;0.7;1.6;1.5;1.1;0.6;5;87.6
Tomate, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;110;0.3;0.1;0;0.1;4;3.9;1.5;1.1;93.2
Tomate, geschält (Konserve);Pelati;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;82;0.2;0;0;0.1;3;2.9;1;0.9;93.8
Tomate, getrocknet;;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;882;0.5;0.1;0.1;0.3;29.2;13.7;21.7;11.3;26.3
Tomate, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;90;0.3;0.1;0;0.1;3.3;3.2;1.2;0.9;94.1
Tomatenkuchen, gebacken (mit Blätterteig);Tomatenwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;646;11;6.2;2.7;0.8;10;2.5;1;3.5;74.6
Tomatenkuchen, gebacken (mit Kuchenteig);Tomatenwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;659;10.1;5.6;2.5;0.7;12.3;2.5;1.1;3.9;72.7
Tomatenpüree;Tomatenmark;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;326;0.2;0;0;0.1;12.9;12.4;2.8;4.5;76.7
Tomatensaft;;"Alkoholfreie Getränke/Frucht- und Gemüsesäfte;Gemüse/Gemüsesäfte";pro 100 ml;70;0.1;0.1;0;0;3;2.1;0.1;0.8;95.3
Tomatensauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;288;2.1;0.5;0.9;0.6;9.7;4.1;1.9;1.8;82.5
Tomatensuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;177;1.1;0.5;0.4;0;6.6;3.5;0.7;1;89
Tomme;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1180;22.5;13.5;5.3;1;0;0;0;20.3;55
Topinambur, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;213;0.4;0.1;0;0.2;3.8;3.8;11.8;2.3;81.7
Topinambur, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;221;0.4;0.1;0;0.2;4;4;12.1;2.4;79.3
Traube, weiss, roh;Weintraube;Früchte/Früchte frisch;pro 100g essbarer Anteil;292;0.3;0.1;0;0.1;15.2;14.6;1.5;0.7;81.1
Traubenkernöl;;Fette und Öle/Öle;pro 100 ml;3330;90;10.1;16.7;58.8;0;0;0;0;0
Traubensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;302;0.1;0;0;0;17.3;17;0.1;0.3;87.3
Traubenzucker;"Glukose;Dextrose";Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;1700;0;0;0;0;99.8;99.8;0;0;0.1
Trinkwasser (Mittelwert Schweiz);;Alkoholfreie Getränke/Trinkwasser;pro 100 ml;0;0;0;0;0;0;0;0;0;100
Trockenfleisch;"Hobelfleisch;Bündnerfleisch";Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;804;3.5;1.6;1.5;0.2;0.4;0.4;0;39.3;52.2
Truthahn, Brust, Schnitzel oder Geschnetzeltes, grebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;590;1.3;0.3;0.3;0.3;0;0;0;31.8;66.9
Truthahn, Brust, Schnitzel oder Geschnetzeltes, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;457;1.3;0.3;0.3;0.3;0;0;0;24;73.5
Vacherin Mont d'Or;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1160;23.2;13.9;5.4;1.1;0;0;0;17.2;56.8
Vanillecrème, hausgemacht, gekocht;;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;458;4.6;2.3;1.3;0.4;12.7;11.6;0;4.3;78.3
Vegetarisches Gehacktes/Geschnetzeltes, aus Mykoprotein, roh;;Fleischersatzprodukte;pro 100g essbarer Anteil;386;2.3;0.3;0.4;1.2;1.6;0;6;13.4;75.5
Vinaigrette (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;1050;25.2;2.4;14.3;6.7;2.1;1.5;0.6;4.6;67.4
Vitello tonnato mit Garnitur;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;720;10.9;2.5;3.3;3.8;0.7;0.6;0.2;17.9;70.3
Vitello tonnato ohne Garnitur;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;828;12.4;2.9;3.6;4.6;0.3;0.3;0;21.4;65.9
Vollkornreiswaffel;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1650;2.8;0.6;1;1;81.5;1.5;4.2;7.7;5.8
Vollmilch, pasteurisiert;;Milch und Milchprodukte/Milch;pro 100 ml;282;4;2.4;0.9;0.2;4.7;4.7;0;3.2;87.3
Vollmilch, standardisiert, 3.5% Fett, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;271;3.5;2;0.9;0.1;5;5;0;3.2;87.8
Vollmilch, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;284;4.1;2.5;1;0.2;4.6;4.6;0;3.2;87.2
Vollmilchpulver;;Milch und Milchprodukte/Milch;pro 100g essbarer Anteil;2010;26.2;15.7;6.2;1.2;35.1;35.1;0;24.7;3.5
Vollrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1370;34.8;20.9;8.2;1.6;3.1;3.1;0;2;59.4
Vollrahm, UHT;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1380;34.9;20.9;8.2;1.6;3.1;3.1;0;2;59.2
Vorderschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;445;3.3;1.3;1.6;0.2;0.4;0.4;0;18.6;74.5
Vorzugsbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;3070;82.3;49.4;19.3;3.8;0.7;0.6;0;0.7;16.4
Walliser Roggenbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;960;1;0.1;0.1;0.5;42.6;3.4;8.8;7.6;40.6
Wasabi Paste;;Verschiedenes/Saucen;pro 100g essbarer Anteil;1300;10.6;;;;49.6;;1.3;2.9;
Wassereis;Wasserglacé;Süssigkeiten/Glacen auf Wasserbasis;pro 100g essbarer Anteil;375;0;0;0;0;22;22;0;0;78
Wassermelone, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;158;;;;;8.3;7.9;0.5;0.7;91
Weichkaramellen, Bonbons;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;1880;17.2;10.1;5.8;0.5;71.1;71.1;0;2.1;7.8
Weichkäse (Durchschnitt ohne fettreduzierte Varianten);;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1350;27.4;16.5;6.5;1.3;0;0;0;19.4;52.7
Weichkäse, Doppelrahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1550;37.5;25.1;10.6;0.9;0;0;0;9.7;49.4
Weichkäse, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1440;30.9;18.5;7.3;1.5;0;0;0;17.4;48
Weichkäse, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1230;23.7;14.2;5.6;1.1;0;0;0;20.6;52.5
Wein rot, 12 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;287;0;0;0;0;0.3;0.3;0;0.2;89.6
Wein rot, 13.5 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;314;0;0;;;0.2;0.2;0;0;89
Wein rot, 9 vol%;Rotwein;Alkoholhaltige Getränke/Wein;pro 100 ml;224;0;0;0;0;0.2;0.2;0;0.2;92
Wein weiss, 11 vol%;Weisswein;Alkoholhaltige Getränke/Wein;pro 100 ml;291;0;0;0;0;2;2;0;0.1;89
Wein weiss, 12.5 vol%;Weisswein;Alkoholhaltige Getränke/Wein;pro 100 ml;295;0;0;0;0;0.1;0.1;0;0.2;89
Wein weiss, gespritzt, sauer;;Alkoholhaltige Getränke/Wein;pro 100 ml;148;0;0;0;0;0.1;0.1;0;0.1;94.9
Wein weiss, gespritzt, süss;;Alkoholhaltige Getränke/Wein;pro 100 ml;228;0;0;0;0;4.8;4.8;0;0.1;90.1
Weissbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1030;0.8;0.2;0.1;0.4;48.9;0.2;2.5;8.5;40
Weisskohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;144;0.6;0.3;0.2;0.1;4.4;4;3.3;1.3;90.4
